,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons),Year,population,county,year
9133,INV-10083200001,01/30/2018,5462,7Star Liquor & Tobacco Outlet,502 E Ave NW,Cedar Rapids,52405.0,POINT (-91.680323 41.977958),57.0,LINN,1031200.0,American Flavored Vodka,205,E & J Gallo Winery,40191,New Amsterdam Pineapple,24,200,2.49,3.74,4,13.44,0.8,0.21,2018,,,
9134,INV-10164400025,02/02/2018,4370,Kum & Go #240 / North Ave Norwalk,530 North Ave,Norwalk,50211.0,POINT (-93.681862 41.475381),91.0,WARREN,1081600.0,Whiskey Liqueur,421,SAZERAC COMPANY  INC,86884,Southern Comfort,24,375,4.78,7.17,9,64.53,3.38,0.89,2018,,,
9135,INV-10096800026,01/30/2018,2200,Sac Liquor Store,619 E Main St,Sac City,50583.0,POINT (-94.974011 42.421341),81.0,SAC,1012100.0,Canadian Whiskies,260,DIAGEO AMERICAS,10836,Crown Royal Black,12,750,17.0,25.5,2,51.0,1.5,0.4,2018,9705,,
9136,INV-10095200057,01/30/2018,4167,"Iowa Street Market, Inc.",1256 Iowa St,Dubuque,52001.0,POINT (-90.668138 42.504959),31.0,DUBUQUE,1032100.0,Imported Vodkas,370,PERNOD RICARD USA,34007,Absolut Swedish Vodka 80 Prf,12,1000,14.99,22.49,36,809.64,36.0,9.51,2018,,,
9137,INV-10056200032,01/29/2018,5364,Station Mart,3594 Lafayette Road,Evansdale,50707.0,POINT (-92.287994 42.47724500000001),7.0,BLACK HAWK,1051100.0,American Brandies,259,Heaven Hill Brands,52314,Christian Bros Brandy,24,375,3.23,4.85,4,19.4,1.5,0.4,2018,131723,,
9138,INV-10125900044,01/31/2018,2603,Hy-Vee Wine and Spirits / Bettendorf,2890 Devils Glen Road,Bettendorf,52722.0,POINT (-90.483701 41.552338),82.0,SCOTT,1062500.0,Flavored Rum,370,PERNOD RICARD USA,42716,Malibu Coconut Rum,12,750,7.49,11.24,36,404.64,27.0,7.13,2018,,,
9139,INV-10048600019,01/29/2018,4285,Fareway Stores #922 / New Hampton,102 S Water Ave,New Hampton,50659.0,POINT (-92.312904 43.058019),19.0,CHICKASAW,1081400.0,American Schnapps,65,Jim Beam Brands,82780,Dekuyper Buttershots PET,12,750,6.47,9.71,3,29.13,2.25,0.59,2018,11952,,
9140,INV-10056100003,01/29/2018,4910,Prime Mart #3 / Waterloo,1008 Laporte Rd,Waterloo,50702.0,POINT (-92.322988 42.47658),7.0,BLACK HAWK,1031100.0,American Vodkas,434,LUXCO INC,36308,Hawkeye Vodka,6,1750,7.17,10.76,6,64.56,10.5,2.77,2018,131723,,
9141,INV-10159800009,02/01/2018,5347,Kum & Go #1097 / 50th WDM,220 50th St,West Des Moines,50265.0,POINT (-93.770919 41.572085),77.0,POLK,1022200.0,100% Agave Tequila,410,Patron Spirits Company,88296,Patron Tequila Silver,12,750,27.5,41.25,6,243.0,4.5,1.19,2018,,,
9142,INV-10053000114,01/29/2018,3612,B and C Liquor / Maquoketa,509 E Platt,Maquoketa,52060.0,POINT (-90.659692 42.06922000000001),49.0,JACKSON,1071100.0,Cocktails /RTD,55,SAZERAC NORTH AMERICA,57144,Chi-Chi's White Russian,6,1750,6.5,9.75,1,9.25,1.75,0.46,2018,19427,,
9143,INV-10139200108,02/01/2018,2635,Hy-Vee #4 / Davenport,4064 E 53rd St,Davenport,52807.0,POINT (-90.513769 41.574973),82.0,SCOTT,1031100.0,American Vodkas,297,Laird & Company,35914,Five O'clock Vodka,24,375,1.93,2.9,10,29.0,3.75,0.99,2018,,,
9144,INV-10157700004,02/01/2018,5127,Price Chopper  /  Ingersoll,3425 Ingersoll Ave,Des Moines,50312.0,POINT (-93.663337 41.586313),77.0,POLK,1082000.0,Imported Cordials & Liqueurs,461,Skyy Spirits Inc,65125,Grand Marnier Cordon Rouge,12,375,9.99,14.99,12,179.88,4.5,1.19,2018,,,
9145,INV-10064000066,01/29/2018,3952,Lot-A-Spirits,3780 State St,Bettendorf,52722.0,POINT (-90.48065 41.529655),82.0,SCOTT,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,48,174.24,48.0,12.68,2018,,,
9146,INV-10128100072,01/31/2018,2637,Hy-Vee #5 / Davenport,2351 W Locust,Davenport,52804.0,POINT (-90.611972 41.538207),82.0,SCOTT,1062400.0,Spiced Rum,259,Heaven Hill Brands,43022,Admiral Nelson Spiced Rum Mini,12,500,3.78,5.67,1,5.67,0.5,0.13,2018,,,
9147,INV-10080900015,01/30/2018,2509,Hy-Vee / Drugtown #1 / Cedar Rapids,1520 6th St SW,Cedar Rapids,52404.0,POINT (-91.67706 41.962419),57.0,LINN,1011100.0,Blended Whiskies,297,Laird & Company,23824,Five Star,24,375,2.09,3.14,24,75.36,9.0,2.38,2018,,,
