,County,population,Year,county,year
246,MARION,33270,2011,,
247,LUCAS,8636,2014,,
248,WEBSTER,39672,2002,,
249,HAMILTON,15032,2017,,
250,CRAWFORD,16847,2002,,
251,MAHASKA,22021,2003,,
252,HANCOCK,11670,2004,,
253,MONONA,10069,1997,,
254,ADAMS,3754,2015,,
255,KEOKUK,10170,2016,,
256,WAPELLO,35486,2011,,
257,MARSHALL,38276,1990,,
258,FRANKLIN,10567,2008,,
259,WINNESHIEK,20629,2009,,
260,BREMER,24276,2010,,
261,SIOUX,34635,2014,,
262,VAN BUREN,7683,1991,,
263,MONROE,8169,1992,,
264,GRUNDY,12317,1997,,
265,HUMBOLDT,10014,2003,,
266,SHELBY,13230,1990,,
267,BLACK HAWK,133077,2016,,
268,DUBUQUE,97311,2019,,
269,IOWA,14927,1995,,
270,KEOKUK,11592,1993,,
271,WORTH,7708,2004,,
272,PAGE,15229,2018,,
273,CHEROKEE,14098,1990,,
274,MARION,33309,2010,,
275,DECATUR,8201,2008,,
276,MONROE,7784,2004,,
277,BOONE,26123,2003,,
278,MONROE,8060,2011,,
279,POCAHONTAS,8970,1997,,
280,MAHASKA,21516,1992,,
281,IDA,7840,2000,,
282,SIOUX,34503,2013,,
283,PAGE,15527,2008,,
284,FLOYD,16900,2000,,
285,ADAMS,3692,2016,,
286,HARDIN,18912,1999,,
287,BREMER,23369,2004,,
288,KOSSUTH,15956,2005,,
289,CLAY,17700,1994,,
290,LYON,11332,2006,,
291,UNION,12325,1996,,
292,HOWARD,9436,2008,,
293,BUCHANAN,21230,1995,,
294,WASHINGTON,21037,2005,,
295,GUTHRIE,10762,2012,,
296,OSCEOLA,6236,2013,,
297,JEFFERSON,16313,1991,,
298,JEFFERSON,18219,2017,,
299,ALLAMAKEE,14061,2020,,
300,MONONA,9243,2010,,
301,LINN,218129,2014,,
302,WINNESHIEK,20894,2004,,
303,CERRO GORDO,42983,2015,,
304,MARION,30276,1993,,
305,LINN,183167,1997,,
306,WARREN,50078,2017,,
307,PALO ALTO,9140,2015,,
308,WAPELLO,35817,1992,,
309,ALLAMAKEE,13996,1992,,
310,CEDAR,18505,2020,,
311,JASPER,36574,2012,,
312,MUSCATINE,41792,2001,,
313,POWESHIEK,18615,2006,,
314,HAMILTON,16098,1992,,
315,PAGE,16874,1991,,
316,FREMONT,7993,1999,,
317,HANCOCK,11341,2010,,
318,HARRISON,14734,1991,,
319,CLAY,16629,2007,,
320,ADAMS,4634,1994,,
321,JACKSON,20098,2003,,
322,HOWARD,9944,1995,,
323,JONES,20521,1996,,
324,CASS,14886,1998,,
325,SAC,10848,2003,,
326,DUBUQUE,93653,2010,,
327,WOODBURY,101211,2005,,
328,SHELBY,13074,2000,,
329,SHELBY,13278,1995,,
330,WOODBURY,98506,1991,,
331,CEDAR,18627,2019,,
332,MONROE,7549,2009,,
333,SAC,12311,1991,,
334,MUSCATINE,41440,1996,,
335,CEDAR,17447,1991,,
336,APPANOOSE,12848,2011,,
337,TAYLOR,7024,1994,,
338,PALO ALTO,9569,2005,,
339,CERRO GORDO,46733,1990,,
340,WINNEBAGO,10696,2011,,
341,DES MOINES,43112,1995,,
342,MONTGOMERY,11947,1996,,
343,HARDIN,17253,2015,,
344,DALLAS,77739,2014,,
345,UNION,12534,2010,,
346,KEOKUK,10213,2018,,
347,POLK,365086,1999,,
348,WRIGHT,14662,1997,,
349,IOWA,16155,2018,,
350,CLAYTON,17779,2006,,
351,WARREN,37150,1993,,
352,LOUISA,11381,2011,,
353,ADAMS,4099,2007,,
354,WINNESHIEK,21113,1994,,
355,POCAHONTAS,7479,2008,,
356,MARSHALL,38526,1995,,
357,TAMA,17513,1993,,
358,LINN,220271,2015,,
359,DICKINSON,16840,2014,,
360,MAHASKA,22126,1998,,
361,SCOTT,154912,1993,,
362,PLYMOUTH,23470,1992,,
363,ADAMS,4616,1995,,
364,MARION,32256,2004,,
365,WORTH,7413,2018,,
366,WINNEBAGO,11829,1997,,
367,FAYETTE,21674,2001,,
368,TAYLOR,6121,2019,,
369,CALHOUN,9951,2007,,
370,SAC,9816,2016,,
371,CLARKE,8841,1999,,
372,SCOTT,157228,1998,,
373,ALLAMAKEE,14309,2002,,
374,JONES,20303,2005,,
375,O'BRIEN,15457,1999,,
376,GREENE,10280,1994,,
377,MILLS,13819,1997,,
378,ADAIR,7847,2004,,
379,TAMA,18070,1999,,
380,DICKINSON,17109,2016,,
381,JOHNSON,140151,2013,,
382,HUMBOLDT,9558,2019,,
383,LYON,11934,2020,,
384,DES MOINES,42351,2000,,
385,WAPELLO,35803,2002,,
386,OSCEOLA,7003,2000,,
387,MARION,33091,2017,,
388,HARRISON,14105,2018,,
389,BENTON,26076,2010,,
390,LYON,11581,2010,,
391,BUCHANAN,21091,1994,,
