,County,population,Year,county,year
876,BREMER,22813,1990,,
877,JONES,20646,2020,,
878,POCAHONTAS,9396,1992,,
879,UNION,12201,2001,,
880,HARDIN,19094,1990,,
881,DES MOINES,42668,1991,,
882,SIOUX,31347,1996,,
883,CLARKE,9168,2002,,
884,PLYMOUTH,24739,1997,,
885,CASS,13870,2007,,
886,APPANOOSE,13723,2000,,
887,WRIGHT,12562,2019,,
888,CLAYTON,18909,1994,,
889,BUCHANAN,20761,2002,,
890,CLAY,17601,1997,,
891,FRANKLIN,10588,2003,,
892,EMMET,11028,2000,,
893,MONONA,8615,2019,,
894,FAYETTE,19858,2016,,
895,CLAYTON,18900,1999,,
896,WASHINGTON,20098,1994,,
897,CARROLL,20911,2005,,
898,HAMILTON,16371,1998,,
899,ADAMS,4845,1991,,
900,SAC,10059,2009,,
901,OSCEOLA,6316,2011,,
902,MONTGOMERY,11771,2000,,
903,BLACK HAWK,126737,2007,,
904,JONES,20638,2010,,
905,BREMER,23098,1995,,
906,CERRO GORDO,43127,2020,,
907,HANCOCK,11626,2005,,
908,KEOKUK,10398,2011,,
909,CLARKE,9395,2019,,
910,GUTHRIE,10686,2014,,
911,GREENE,10442,1999,,
912,KEOKUK,10171,2015,,
913,CLAY,16484,2014,,
914,ADAMS,4321,2003,,
915,MAHASKA,22120,2008,,
916,FREMONT,7441,2010,,
917,WINNEBAGO,11850,1993,,
918,POWESHIEK,19033,1990,,
919,UNION,12241,2019,,
920,AUDUBON,6549,2002,,
921,OSCEOLA,7246,1993,,
922,HUMBOLDT,9762,2006,,
923,CRAWFORD,16775,1997,,
924,MUSCATINE,43028,2014,,
925,VAN BUREN,7390,2014,,
926,WOODBURY,101971,2008,,
927,BUTLER,15406,1999,,
928,HARRISON,15400,1997,,
929,TAMA,17029,2017,,
930,DES MOINES,42936,1996,,
931,DALLAS,32262,1994,,
932,ALLAMAKEE,13687,2019,,
933,JOHNSON,115560,2002,,
934,CALHOUN,10719,2002,,
935,WASHINGTON,21152,2007,,
936,SAC,12156,1992,,
937,BUCHANAN,20975,2007,,
938,CHICKASAW,13288,1991,,
939,MONTGOMERY,11992,1995,,
940,KOSSUTH,15104,2016,,
941,APPANOOSE,13726,1995,,
942,WOODBURY,102686,2016,,
943,WOODBURY,98276,1990,,
944,EMMET,11501,1995,,
945,LOUISA,11250,2014,,
946,ALLAMAKEE,13874,2015,,
947,WRIGHT,14560,1998,,
948,WARREN,48468,2015,,
949,HENRY,19929,2009,,
950,HARRISON,15497,2002,,
951,WAPELLO,35265,2016,,
952,POTTAWATTAMIE,88960,2005,,
953,LEE,35236,2013,,
954,KOSSUTH,14878,2018,,
955,CLAYTON,17853,2005,,
956,JACKSON,19427,2018,,
957,WINNESHIEK,20070,2020,,
958,AUDUBON,6132,2007,,
959,CERRO GORDO,46950,1999,,
960,LUCAS,9337,2008,,
961,ADAMS,3602,2019,,
962,WORTH,7801,2001,,
963,WINNEBAGO,11876,1998,,
964,MILLS,15139,2006,,
965,FLOYD,17062,1995,,
966,STORY,76937,1997,,
967,PAGE,15913,2007,,
968,VAN BUREN,7570,2010,,
969,WARREN,45275,2009,,
970,SCOTT,155375,1994,,
971,DICKINSON,15245,1993,,
972,CLINTON,48701,2012,,
973,FREMONT,6947,2016,,
974,DECATUR,8185,1992,,
975,HARDIN,18812,2000,,
976,HOWARD,9999,1999,,
977,ADAMS,3910,2012,,
978,LOUISA,11245,2009,,
979,CRAWFORD,16737,1991,,
980,WASHINGTON,21100,2006,,
981,WAPELLO,36052,1997,,
982,APPANOOSE,12707,2012,,
983,DALLAS,46308,2003,,
984,MADISON,14019,2000,,
985,SHELBY,12305,2006,,
986,KEOKUK,10562,2009,,
987,JOHNSON,105355,1997,,
988,JEFFERSON,17629,2013,,
989,FREMONT,7141,2012,,
990,GRUNDY,12085,2007,,
991,LUCAS,8634,2020,,
992,SAC,9814,2020,,
993,MONTGOMERY,10404,2013,,
994,FRANKLIN,11314,1992,,
995,LYON,11449,2005,,
996,FLOYD,16087,2012,,
997,O'BRIEN,15456,1997,,
998,PAGE,15462,2015,,
999,MONROE,7979,2013,,
0,,496844,,POLK,2021
1,,228939,,LINN,2021
2,,174170,,SCOTT,2021
3,,154748,,JOHNSON,2021
4,,130368,,BLACK HAWK,2021
5,,105607,,WOODBURY,2021
6,,103796,,DALLAS,2021
7,,99472,,STORY,2021
8,,98718,,DUBUQUE,2021
9,,93304,,POTTAWATTAMIE,2021
10,,53402,,WARREN,2021
11,,46463,,CLINTON,2021
12,,42706,,CERRO GORDO,2021
13,,42688,,MUSCATINE,2021
14,,39853,,MARSHALL,2021
15,,38491,,DES MOINES,2021
16,,37764,,JASPER,2021
17,,37147,,WEBSTER,2021
18,,35893,,SIOUX,2021
19,,35256,,WAPELLO,2021
20,,33380,,MARION,2021
21,,33215,,LEE,2021
22,,26723,,BOONE,2021
23,,25691,,BENTON,2021
24,,25650,,PLYMOUTH,2021
25,,25081,,BREMER,2021
26,,22491,,WASHINGTON,2021
27,,21984,,MAHASKA,2021
28,,20805,,JONES,2021
29,,20771,,BUENA VISTA,2021
30,,20692,,CARROLL,2021
31,,20657,,BUCHANAN,2021
32,,20387,,HENRY,2021
33,,19892,,WINNESHIEK,2021
34,,19368,,JACKSON,2021
35,,19258,,FAYETTE,2021
36,,18586,,POWESHIEK,2021
37,,18410,,CEDAR,2021
38,,17851,,DICKINSON,2021
39,,17510,,DELAWARE,2021
40,,16998,,CLAYTON,2021
41,,16867,,TAMA,2021
42,,16773,,MADISON,2021
43,,16708,,HARDIN,2021
44,,16568,,IOWA,2021
45,,16440,,CLAY,2021
46,,16193,,CRAWFORD,2021
47,,15647,,JEFFERSON,2021
48,,15413,,FLOYD,2021
49,,15197,,PAGE,2021
50,,14887,,HAMILTON,2021
51,,14669,,HARRISON,2021
52,,14529,,KOSSUTH,2021
53,,14465,,MILLS,2021
54,,14332,,BUTLER,2021
55,,14015,,O'BRIEN,2021
56,,13926,,ALLAMAKEE,2021
57,,13050,,CASS,2021
58,,12785,,WRIGHT,2021
59,,12347,,GRUNDY,2021
60,,12257,,APPANOOSE,2021
61,,12018,,UNION,2021
62,,12011,,LYON,2021
63,,11887,,CHICKASAW,2021
64,,11770,,SHELBY,2021
65,,11503,,CHEROKEE,2021
66,,10749,,LOUISA,2021
67,,10663,,HANCOCK,2021
68,,10656,,WINNEBAGO,2021
69,,10567,,GUTHRIE,2021
70,,10555,,MITCHELL,2021
71,,10322,,MONTGOMERY,2021
72,,9952,,FRANKLIN,2021
73,,9915,,CALHOUN,2021
74,,9914,,KEOKUK,2021
75,,9785,,CLARKE,2021
76,,9752,,SAC,2021
77,,9634,,HUMBOLDT,2021
78,,9478,,HOWARD,2021
79,,9321,,EMMET,2021
80,,9138,,DAVIS,2021
81,,8906,,PALO ALTO,2021
82,,8717,,GREENE,2021
83,,8710,,LUCAS,2021
84,,8574,,MONONA,2021
85,,7659,,DECATUR,2021
86,,7610,,MONROE,2021
87,,7541,,ADAIR,2021
88,,7385,,WORTH,2021
89,,7243,,VAN BUREN,2021
90,,7074,,POCAHONTAS,2021
91,,6956,,IDA,2021
92,,6567,,FREMONT,2021
93,,6508,,WAYNE,2021
94,,6159,,OSCEOLA,2021
95,,5868,,TAYLOR,2021
96,,5635,,AUDUBON,2021
97,,4639,,RINGGOLD,2021
98,,3641,,ADAMS,2021
99,,"United States Census Bureau. B01001 SEX BY AGE, 2020 American Community Survey 5-Year Estimates. U.S. Census Bureau, American Community Survey Office. Web. 17 March 2022. http://www.census.gov/.  United States Census Bureau. Annual Estimates of the Resident Population: April 1, 2020 to July 1, 2021. U.S. Census Bureau, Population Division. Web. May 2022. http://www.census.gov/.",,"UNITED STATES CENSUS BUREAU. B01001 SEX BY AGE, 2020 AMERICAN COMMUNITY SURVEY 5-YEAR ESTIMATES. U.S. CENSUS BUREAU, AMERICAN COMMUNITY SURVEY OFFICE. WEB. 17 MARCH 2022. HTTP://WWW.CENSUS.GOV/.  UNITED STATES CENSUS BUREAU. ANNUAL ESTIMATES OF THE RESIDENT POPULATION: APRIL 1, 2020 TO JULY 1, 2021. U.S. CENSUS BUREAU, POPULATION DIVISION. WEB. MAY 2022.",2021
